STD_CODE,REGIS_YEAR,REGIS_SEMESTER
6451500240,2564,1
6451500257,2564,1
6451500265,2564,1
6451500273,2564,1
6451500281,2564,1
6451500281,2565,2
6451500299,2564,1
6451500307,2564,1
6451500315,2564,1
6451500323,2564,1
6451590019,2564,1
6451590027,2564,1
6451590035,2564,1
6451590043,2564,1
6451600032,2564,2
6451600115,2564,2
6451600123,2564,2
6451600156,2564,2
6451600198,2566,2
6451600206,2564,2
6451600271,2567,1
6451600305,2564,2
6451600313,2564,2
6451600396,2567,1
6451600420,2565,1
6451600420,2565,2
6451600438,2565,1
6451600438,2567,2
6451600446,2564,2
6451600461,2564,2
6451600537,2564,2
6451600586,2564,2
6451610015,2564,2
6551010181,2565,2
6551010231,2565,2
6551010264,2565,2
6551010298,2565,2
6551010371,2566,2
6551010439,2565,2
6551010496,2565,2
6551010546,2567,2
6551010587,2565,2
6551010660,2565,2
6551010678,2565,2
6551010736,2565,2
6551010769,2565,2
6551010777,2565,2
6551010801,2567,2
6551010843,2565,2
6551010843,2566,1
6551010843,2566,2
6551010868,2565,2
6551010967,2566,2
6551010967,2567,1
6551090019,2566,2
6551090035,2565,2
6551090043,2565,2
6551090050,2565,2
6551090076,2565,2
6551090092,2565,2
6551090100,2565,2
6551090118,2565,2
6551090126,2565,2
6551090134,2565,2
6551090142,2565,2
6551090159,2565,2
6551510016,2565,1
6551510024,2565,1
6551510032,2565,1
6551510032,2566,2
6551510040,2565,1
6551510040,2567,2
6551510057,2565,1
6551510065,2565,1
6551510073,2565,1
6551510115,2565,1
6551510115,2566,1
6551590018,2565,1
6551590026,2565,1
6551620021,2566,1
6551620021,2566,2
6551620047,2566,2
6551620104,2565,2
6551620112,2566,2
6551620153,2566,2
6551620187,2566,2
6551620237,2565,2
6551620294,2565,2
6551620302,2565,2
6551620328,2565,2
6551620336,2565,2
6551620351,2565,2
6551630012,2565,2
6551630012,2566,1
6551630012,2566,2
6551630012,2567,1
6551630079,2565,2
6551630152,2565,2
6551630178,2565,2
6551630210,2565,2
6551630293,2565,2
6551630376,2565,2
6551630392,2565,2
6551720011,2565,1
6551720029,2565,1
6551720037,2565,1
6551720045,2565,1
6551720052,2565,1
6551720060,2565,1
6551730010,2565,1
6551730028,2565,1
6551730036,2565,1
6551730044,2565,1
6551730051,2565,1
6551730051,2566,1
6551730051,2566,2
6551730051,2567,2
6651010081,2567,2
6651010149,2567,2
6651010289,2566,2
6651010321,2567,2
6651010404,2566,2
6651010479,2567,2
6651010495,2567,2
6651010537,2566,2
6651010719,2566,2
6651010842,2566,2
6651010941,2566,2
6651010982,2566,2
6651011063,2567,2
6651011071,2567,2
6651011188,2566,2
6651011196,2566,2
6651011238,2567,2
6651011253,2566,2
6651011261,2567,2
6651011352,2566,2
6651011493,2566,2
6651090018,2566,2
6651090075,2566,2
6651510015,2566,1
6651510023,2566,1
6651510031,2566,1
6651510049,2566,1
6651510056,2566,1
6651510056,2567,2
6651510064,2566,1
6651510072,2566,1
6651590017,2566,1
6651620053,2566,2
6651620087,2566,2
6651620095,2566,2
6651620111,2567,2
6651620129,2566,2
6651620152,2567,2
6651620228,2566,2
6651620327,2566,2
6651620335,2566,2
6651620368,2566,2
6651620400,2566,1
6651620400,2566,2
6651620400,2567,2
6651630029,2566,2
6651630037,2566,2
6651630086,2566,2
6651630219,2566,2
6651630318,2566,2
6651630342,2566,2
6651630367,2566,2
6651630383,2566,2
6651630409,2566,2
6651630441,2566,2
6651630441,2567,2
6651630482,2566,2
6651630508,2566,2
6651630516,2566,2
6651630540,2567,2
6651630565,2567,2
6651630599,2566,2
6651630607,2567,2
6651630631,2566,2
6651630649,2566,2
6651630664,2566,1
6651630664,2566,2
6651720010,2566,1
6651720028,2566,1
6651720036,2566,1
6651720044,2566,1
6651730019,2566,1
6651730027,2566,1
6651730035,2566,1
6751010205,2567,2
6751010254,2567,2
6751010262,2567,2
6751010304,2567,2
6751010338,2567,2
6751010379,2567,2
6751010387,2567,2
6751010395,2567,2
6751010692,2567,2
6751010742,2567,2
6751010783,2567,2
6751010833,2567,2
6751010841,2567,2
6751011138,2567,2
6751011153,2567,2
6751011179,2567,2
6751011195,2567,2
6751011211,2567,2
6751011237,2567,2
6751011302,2567,2
6751011310,2567,2
6751011336,2567,2
6751011401,2567,2
6751011518,2567,2
6751011617,2567,2
6751011625,2567,2
6751011690,2567,2
6751011724,2567,2
6751011773,2567,2
6751011781,2567,2
6751011815,2567,2
6751011823,2567,2
6751011849,2567,2
6751090017,2567,2
6751090025,2567,1
6751510014,2567,1
6751510022,2567,1
6751510030,2567,1
6751510048,2567,1
6751510055,2567,1
6751590016,2567,1
6751590024,2567,1
6751590032,2567,1
6751620011,2567,2
6751620052,2567,2
6751630093,2567,2
6751630218,2567,2
6751630317,2567,2
6751630333,2567,2
6751630358,2567,2
6751630556,2567,2
6751720019,2567,1
6751720027,2567,1
6751720035,2567,1
6751720043,2567,1
6751730018,2567,1
6751730026,2567,1
6751730034,2567,1
